Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1699370722.8058622,68,1699370682,258235200,,38.605445544554456,117.76782178217822,0.0
1699370722.852998,69,1699370682,305438700,,38.740356083086056,117.76953511374876,0.0
1699370722.9024715,70,1699370682,354774000,,39.84092021536956,117.92217327459618,0.0
1699370722.9439294,71,1699370682,395290600,,40.770833333333336,117.98643410852713,0.0
1699370722.9703982,72,1699370682,422950300,,42.01585776069197,118.0408457472369,0.0
1699370723.022451,73,1699370682,474707500,,42.50858778625954,118.12547709923665,0.0
1699370723.0679133,74,1699370682,520259100,,45.25372439478585,118.42597765363128,0.0
1699370723.0925963,75,1699370682,545464500,,47.513623978201636,118.68165304268847,0.0
1699370723.127691,76,1699370682,579177000,,55.174703891708965,119.42005076142132,0.0
1699370723.188498,77,1699370682,640573500,,64.79340141398272,120.34524744697565,0.0
1699370723.2234356,78,1699370682,674119400,,70.61130202367316,120.83619702176404,0.0
1699370723.2513516,79,1699370682,703904800,,81.62311926605504,121.71449541284403,0.0
1699370723.3023732,80,1699370682,754296200,,92.99222889438362,122.68103143765454,0.0
1699370723.3458002,81,1699370682,797781700,,104.04001379786133,123.6019317005864,0.0
1699370723.3910592,82,1699370682,843615900,,115.41129865656218,124.58491215983466,0.0
1699370723.4381182,83,1699370682,890919600,,124.82763433356594,125.43021632937892,0.0
1699370723.4851441,84,1699370682,937753300,,132.66444366444367,126.02913302913304,0.0
1699370723.5321634,85,1699370682,984851500,,141.007183908046,126.76760057471265,0.0
1699370723.5804706,86,1699370683,32400100,,147.1177549523111,127.27732942039619,0.0
1699370723.6268675,87,1699370683,79253900,,153.7331821617536,127.74338624338624,0.0
1699370723.67256,88,1699370683,125091400,,158.56898561989894,128.15546055188497,0.0
1699370723.719527,89,1699370683,171997800,,163.0710619818397,128.62929332806948,0.0
1699370723.7661746,90,1699370683,218820300,,166.4280502634779,128.75638427239562,0.0
1699370723.814028,91,1699370683,266750900,,169.22487644151565,129.05683690280065,0.0
1699370723.8605046,92,1699370683,313145200,,169.89050186644545,129.15968477810037,0.0
1699370723.9061964,93,1699370683,359019700,,170.12754466140424,129.16368923971748,0.0
1699370723.9532752,94,1699370683,406117200,,170.167290886392,129.1918435289222,0.0
1699370724.0003295,95,1699370683,453108500,,170.1795511221945,129.20033250207814,0.0
1699370724.0480928,96,1699370683,500770200,,170.1597510373444,129.18298755186723,0.0
1699370724.0957441,97,1699370683,547476800,,170.18389373183894,129.19510170195102,0.0
1699370724.14492,98,1699370683,597073400,,170.17248545303408,129.190357439734,0.0
1699370724.1920097,99,1699370683,644808400,,169.81060920016577,129.17571487774555,0.0
1699370724.2378511,100,1699370683,690518900,,169.22798353909465,129.1275720164609,0.0
1699370724.2862806,101,1699370683,738330100,,168.27743778049776,129.015503875969,0.0
1699370724.3329337,102,1699370683,785827500,,167.1235317942487,128.80882948562171,0.0
1699370724.3804076,103,1699370683,831914400,,167.09330628803247,128.84908722109535,0.0
1699370724.4266632,104,1699370683,879149100,,166.37610976594027,128.7865213882163,0.0
1699370724.4722154,105,1699370683,924942000,,163.9518503780342,128.50815758058098,0.0
1699370724.5202992,106,1699370683,972454600,,162.04917387883557,128.28717545239968,0.0
1699370724.568323,107,1699370684,20383200,,159.80635166537567,127.93222308288149,0.0
1699370724.6144729,108,1699370684,67104800,,154.91747572815535,127.55153099327856,0.0
1699370724.6621048,109,1699370684,113787000,,145.5809996455158,126.76072314781992,0.0
1699370724.708069,110,1699370684,160592800,,134.02264150943395,125.78902229845626,0.0
1699370724.75338,111,1699370684,206163600,,121.6988443235894,124.7675050985724,0.0
1699370724.800513,112,1699370684,253096600,,110.35543403964456,123.72453861927546,0.0
1699370724.848778,113,1699370684,301303400,,100.79210342417889,122.86023759608665,0.0
1699370724.8957732,114,1699370684,347688200,,91.55799929052856,122.15111741752395,0.0
1699370724.9412806,115,1699370684,393873500,,82.16586627262653,121.30698189878093,0.0
1699370724.987853,116,1699370684,440619000,,73.50284198560061,120.79158772262221,0.0
1699370725.0345557,117,1699370684,487439100,,65.32372949179671,120.11524609843937,0.0
1699370725.0829463,118,1699370684,535394800,,59.192821368948245,119.57262103505843,0.0
1699370725.1303127,119,1699370684,582603500,,53.60791993037424,119.25108790252393,0.0
1699370725.1764843,120,1699370684,629121900,,49.45642407906559,119.05121293800539,0.0
1699370725.2223642,121,1699370684,675124700,,46.29810798338717,118.8634056299031,0.0
1699370725.2692554,122,1699370684,721804200,,43.40539262062441,118.76064333017976,0.0
1699370725.317344,123,1699370684,769766000,,41.49396426846934,118.6267503621439,0.0
1699370725.3652132,124,1699370684,816942000,,39.918746940773374,118.60499265785609,0.0
1699370725.4125633,125,1699370684,864360100,,39.60963618485742,118.54818092428712,0.0
1699370725.458983,126,1699370684,911163100,,39.544739429695184,118.58308751229106,0.0
1699370725.5073562,127,1699370684,959252300,,39.508374384236454,118.57832512315271,0.0
1699370725.5537071,128,1699370685,5391300,,39.513553474618035,118.5924100542139,0.0
1699370725.600378,129,1699370685,51845400,,39.50689655172414,118.60541871921183,0.0
1699370725.6464293,130,1699370685,97943400,,39.473891625615764,118.58177339901478,0.0
1699370725.6954956,131,1699370685,147119300,,39.49729197439685,118.6080748399803,0.0
1699370725.7425678,132,1699370685,193915200,,39.54496314496315,118.66388206388207,0.0
1699370725.7905023,133,1699370685,243251700,,39.56378802747792,118.65897939156035,0.0
1699370725.8339682,134,1699370685,286208200,,39.69083782459579,118.63302302792749,0.0
1699370725.8572986,135,1699370685,310026700,,39.771190592846644,118.6031357177854,0.0
1699370725.904172,136,1699370685,355300000,,40.86779661016949,118.7414043583535,0.0
1699370725.9524086,137,1699370685,404627600,,42.22137038811692,118.8284619070436,0.0
1699370725.9870303,138,1699370685,439913000,,42.955756422454805,118.83634633682207,0.0
1699370726.0468497,139,1699370685,498674400,,43.772277227722775,118.89297501178689,0.0
1699370726.0869384,140,1699370685,537843200,,44.60440074906367,119.04166666666667,0.0
1699370726.1133537,141,1699370685,565004000,,51.273324572930356,119.7144108628997,0.0
1699370726.1613455,142,1699370685,613344900,,59.47963800904977,120.46976552858906,0.0
1699370726.2071636,143,1699370685,659587000,,68.92755298651252,121.37687861271677,0.0
1699370726.253313,144,1699370685,705810600,,79.78352419652752,122.27041004802365,0.0
1699370726.300111,145,1699370685,752744300,,86.04148783977111,122.87875536480686,0.0
1699370726.3478417,146,1699370685,799999800,,102.69254445964432,124.2999316005472,0.0
1699370726.394951,147,1699370685,847260700,,115.78674450549451,125.39800824175825,0.0
1699370726.44084,148,1699370685,893386900,,125.25652627915072,126.0911938739993,0.0
1699370726.4875975,149,1699370685,940281900,,133.25712275765036,126.74604291241646,0.0
