Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1699458433.1617763,68,1699458391,194036800,,45.37749169435216,125.03986710963456,0.0
1699458433.1877074,69,1699458391,221945600,,45.411960132890364,125.04568106312293,0.0
1699458433.2373528,70,1699458391,270758500,,45.708419742845294,125.1045209456657,0.0
1699458433.2827208,71,1699458391,316844000,,46.39588477366255,125.11810699588477,0.0
1699458433.327747,72,1699458391,362347600,,48.09589597724502,125.34823242584315,0.0
1699458433.3748772,73,1699458391,409595900,,48.76453957996769,125.48586429725364,0.0
1699458433.4228315,74,1699458391,456231800,,49.93717486994798,125.67547018807522,0.0
1699458433.468578,75,1699458391,503081300,,54.023533950617285,126.18942901234568,0.0
1699458433.5153012,76,1699458391,550078100,,62.015211879753714,127.18218036943136,0.0
1699458433.5637941,77,1699458391,597748600,,72.43516632722336,128.4226069246436,0.0
